"association","emb_type","emb_model","nodes","dropout","act","lr","n_layers","avg"
"feminine","bert","0",25,0.5,"sigmoid",1e-04,1,0.476918865780618
"feminine","bert","0",50,0.25,"sigmoid",1e-04,2,0.474662096895476
"feminine","bert","0",150,0.5,"relu",1e-04,3,0.496118630850645
"feminine","bert","1",25,0.5,"sigmoid",1e-04,1,0.460697544102593
"feminine","bert","1",50,0.25,"sigmoid",1e-04,2,0.465561045152679
"feminine","bert","1",150,0.25,"relu",0.001,3,0.473137043176154
"feminine","bert","10",25,0.5,"sigmoid",0.001,1,0.467873352099981
"feminine","bert","10",50,0.5,"sigmoid",0.001,2,0.454045362244087
"feminine","bert","10",150,0.5,"relu",1e-04,3,0.461116423980681
"feminine","bert","11",25,0.5,"sigmoid",1e-04,1,0.482535906536979
"feminine","bert","11",50,0.5,"sigmoid",0.001,2,0.469271607533771
"feminine","bert","11",50,0.25,"relu",1e-04,3,0.463706557886778
"feminine","bert","2",25,0.5,"sigmoid",0.001,1,0.469664459487558
"feminine","bert","2",50,0.5,"sigmoid",0.001,2,0.4631584737017
"feminine","bert","2",150,0.5,"relu",0.001,3,0.477643807672113
"feminine","bert","3",25,0.5,"sigmoid",1e-04,1,0.468352002965323
"feminine","bert","3",50,0.5,"sigmoid",0.001,2,0.457655140332725
"feminine","bert","3",50,0.5,"relu",1e-04,3,0.454729846410987
"feminine","bert","4",25,0.5,"sigmoid",0.001,1,0.456505235564407
"feminine","bert","4",50,0.5,"sigmoid",0.001,2,0.4539617107548
"feminine","bert","4",50,0.25,"relu",1e-04,3,0.460873909518855
"feminine","bert","5",25,0.5,"sigmoid",0.001,1,0.462694663985805
"feminine","bert","5",50,0.5,"sigmoid",0.001,2,0.455024813087164
"feminine","bert","5",150,0.25,"relu",1e-04,3,0.45053367863661
"feminine","bert","6",25,0.5,"sigmoid",0.001,1,0.479610899277521
"feminine","bert","6",50,0.5,"sigmoid",0.001,2,0.467409228587811
"feminine","bert","6",50,0.25,"relu",1e-04,3,0.475305969980263
"feminine","bert","7",25,0.5,"sigmoid",0.001,1,0.472515884438128
"feminine","bert","7",50,0.5,"sigmoid",0.001,2,0.463549620139419
"feminine","bert","7",150,0.5,"relu",1e-04,3,0.467528232617366
"feminine","bert","8",25,0.5,"sigmoid",0.001,1,0.472156674373594
"feminine","bert","8",50,0.5,"relu",1e-04,2,0.462825649439436
"feminine","bert","8",150,0.5,"relu",1e-04,3,0.473456511443653
"feminine","bert","9",150,0.5,"relu",0.001,1,0.474319791975554
"feminine","bert","9",50,0.5,"sigmoid",0.001,2,0.462080993793061
"feminine","bert","9",50,0.25,"relu",1e-04,3,0.477066584262754
"feminine","ft","0",600,0.25,"relu",1e-04,1,0.335812747935971
"feminine","ft","0",50,0.5,"sigmoid",0.001,2,0.324418328486222
"feminine","ft","0",50,0.25,"relu",1e-04,3,0.327525395493912
"feminine","ft","2-5",25,0.5,"sigmoid",0.001,1,0.281022842923228
"feminine","ft","2-5",50,0.5,"sigmoid",0.001,2,0.275300250110172
"feminine","ft","2-5",150,0.5,"sigmoid",0.001,3,0.282892143604037
"good","bert","0",50,0.5,"sigmoid",1e-04,1,0.112399373653752
"good","bert","0",50,0.25,"sigmoid",1e-04,2,0.111532941794623
"good","bert","0",768,0.25,"sigmoid",1e-04,3,0.112367092743343
"good","bert","1",50,0.5,"sigmoid",1e-04,1,0.114971286112913
"good","bert","1",50,0.25,"sigmoid",1e-04,2,0.113843131405876
"good","bert","1",25,0,"sigmoid",1e-04,3,0.114594073334963
"good","bert","10",25,0.5,"sigmoid",1e-04,1,0.116056279355651
"good","bert","10",50,0.25,"sigmoid",1e-04,2,0.114366217849404
"good","bert","10",25,0.5,"tanh",1e-04,3,0.115659457118338
"good","bert","11",25,0.5,"sigmoid",1e-04,1,0.114496173804392
"good","bert","11",50,0.25,"sigmoid",1e-04,2,0.114545811550709
"good","bert","11",50,0.5,"tanh",1e-04,3,0.11543093881409
"good","bert","2",50,0.5,"sigmoid",1e-04,1,0.113195852870471
"good","bert","2",50,0.25,"sigmoid",1e-04,2,0.111567684150943
"good","bert","2",25,0,"sigmoid",1e-04,3,0.112178336619879
"good","bert","3",25,0.5,"sigmoid",1e-04,1,0.115142549941119
"good","bert","3",50,0.25,"sigmoid",1e-04,2,0.112861624144749
"good","bert","3",150,0.25,"sigmoid",1e-04,3,0.112459854905893
"good","bert","4",25,0.5,"sigmoid",1e-04,1,0.115539255964517
"good","bert","4",50,0.25,"sigmoid",1e-04,2,0.114589328538374
"good","bert","4",150,0.25,"sigmoid",1e-04,3,0.112954447712255
"good","bert","5",25,0.5,"sigmoid",1e-04,1,0.11520497640011
"good","bert","5",50,0.25,"sigmoid",1e-04,2,0.113933425620846
"good","bert","5",150,0.25,"sigmoid",1e-04,3,0.113116003074648
"good","bert","6",50,0.5,"sigmoid",1e-04,1,0.116093984160452
"good","bert","6",150,0.5,"sigmoid",0.001,2,0.115160956320312
"good","bert","6",150,0.5,"relu",1e-04,3,0.116435259869665
"good","bert","7",50,0.5,"sigmoid",1e-04,1,0.116290273315722
"good","bert","7",50,0.5,"relu",1e-04,2,0.115402320115432
"good","bert","7",150,0.5,"tanh",1e-04,3,0.115281423445613
"good","bert","8",25,0.5,"sigmoid",1e-04,1,0.116747261563222
"good","bert","8",50,0.25,"sigmoid",1e-04,2,0.115431427858615
"good","bert","8",150,0.5,"relu",1e-04,3,0.113113736827101
"good","bert","9",25,0.5,"sigmoid",1e-04,1,0.115380996766911
"good","bert","9",50,0.25,"sigmoid",1e-04,2,0.113850143833444
"good","bert","9",25,0.5,"tanh",1e-04,3,0.114331427360796
