"association","emb_type","emb_model","nodes","dropout","act","lr","n_layers","avg"
"feminine","bert","0",150,0.25,"sigmoid",1e-04,1,1.04817481863453
"feminine","bert","1",150,0.25,"sigmoid",1e-04,1,0.936195324921549
"feminine","bert","10",150,0.25,"sigmoid",1e-04,1,0.997529461807456
"feminine","bert","11",150,0.5,"sigmoid",0.001,1,0.969421445725042
"feminine","bert","2",150,0.25,"sigmoid",1e-04,1,1.03622654752003
"feminine","bert","3",150,0.25,"sigmoid",1e-04,1,1.00234276280954
"feminine","bert","4",150,0.25,"sigmoid",1e-04,1,0.957895564938155
"feminine","bert","5",150,0.25,"sigmoid",1e-04,1,0.988121984404296
"feminine","bert","6",150,0.25,"sigmoid",1e-04,1,1.06497351026907
"feminine","bert","7",25,0.5,"sigmoid",0.001,1,1.03223485812951
"feminine","bert","8",150,0.5,"sigmoid",0.001,1,1.06427963689501
"feminine","bert","9",150,0.25,"sigmoid",1e-04,1,1.05624054508837
"feminine","ft","0",50,0.5,"relu",0.001,1,0.575204827811299
"good","bert","0",50,0.5,"sigmoid",0.001,1,0.159604543458577
"good","bert","1",50,0.5,"sigmoid",0.001,1,0.147463492546396
"good","bert","10",25,0.5,"sigmoid",0.001,1,0.139208472128705
"good","bert","11",25,0.25,"sigmoid",0.001,1,0.144512233960799
"good","bert","2",50,0.5,"sigmoid",0.001,1,0.145290656870731
"good","bert","3",50,0.5,"sigmoid",0.001,1,0.144300242899988
"good","bert","4",25,0.5,"sigmoid",0.001,1,0.145029218872554
"good","bert","5",25,0.5,"sigmoid",0.001,1,0.141803256198027
"good","bert","6",50,0.5,"relu",0.001,1,0.141752191380082
"good","bert","7",25,0.5,"sigmoid",0.001,1,0.145723186782047
"good","bert","8",25,0.5,"sigmoid",0.001,1,0.151175787512368
"good","bert","9",50,0.5,"sigmoid",0.001,1,0.144694775282507
"good","ft","0",150,0.25,"sigmoid",1e-04,1,0.120224539908315
"smart","bert","0",50,0.5,"sigmoid",0.001,1,0.0729797456477177
"smart","bert","1",150,0.25,"relu",0.001,1,0.0713650737558176
"smart","bert","10",25,0.5,"sigmoid",0.001,1,0.0829981859506365
"smart","bert","11",25,0.25,"sigmoid",0.001,1,0.0813088734296827
"smart","bert","2",150,0.5,"sigmoid",0.001,1,0.0700556546410426
"smart","bert","3",150,0.5,"sigmoid",0.001,1,0.0776385200851993
"smart","bert","4",150,0.25,"relu",0.001,1,0.0756627862841057
"smart","bert","5",150,0.5,"sigmoid",0.001,1,0.0729004103698783
"smart","bert","6",150,0.5,"sigmoid",0.001,1,0.0756800581005827
"smart","bert","7",25,0.5,"sigmoid",0.001,1,0.0780080907974152
"smart","bert","8",25,0.5,"sigmoid",0.001,1,0.0835492423504103
"smart","bert","9",150,0.25,"sigmoid",1e-04,1,0.080789960387026
"smart","ft","0",50,0.25,"sigmoid",0.001,1,0.085784946147463
"trustworthy","bert","0",25,0.5,"sigmoid",0.001,1,0.120916727146006
"trustworthy","bert","1",50,0.5,"sigmoid",0.001,1,0.110014962069846
"trustworthy","bert","10",150,0.5,"sigmoid",0.001,1,0.112045297822973
"trustworthy","bert","11",150,0.25,"sigmoid",1e-04,1,0.114336322443908
"trustworthy","bert","2",50,0.5,"sigmoid",0.001,1,0.111955026487315
"trustworthy","bert","3",50,0.5,"sigmoid",0.001,1,0.114389839376761
"trustworthy","bert","4",50,0.5,"relu",0.001,1,0.112630816437911
"trustworthy","bert","5",25,0.5,"sigmoid",0.001,1,0.113618199572462
"trustworthy","bert","6",25,0.5,"sigmoid",0.001,1,0.111506709839823
"trustworthy","bert","7",25,0.5,"sigmoid",0.001,1,0.11032240713361
"trustworthy","bert","8",25,0.5,"sigmoid",0.001,1,0.109800150361668
"trustworthy","bert","9",25,0.25,"sigmoid",0.001,1,0.115000248033568
"trustworthy","ft","0",50,0.5,"sigmoid",0.001,1,0.105752583801346
