"emb_type","association","word_type","model","correlation"
"ft","feminine","company","0",0.157446792362825
"ft","feminine","company","2-5",0.399094610395164
"ft","feminine","fnames","0",0.763432171175871
"ft","feminine","fnames","2-5",0.837389056024256
"ft","feminine","nonword","0",0.103479143435228
"ft","feminine","nonword","2-5",0.397191008353963
"ft","good","company","0",0.229527229748539
"ft","good","company","2-5",0.252305523507156
"ft","good","fnames","0",0.359033821903901
"ft","good","fnames","2-5",0.458849523415699
"ft","good","nonword","0",0.189209929621963
"ft","good","nonword","2-5",0.219738684855132
"ft","smart","company","0",0.0490091411055261
"ft","smart","company","2-5",0.183224893935565
"ft","smart","fnames","0",0.330410231324426
"ft","smart","fnames","2-5",0.161415473759912
"ft","smart","nonword","0",0.164512443263671
"ft","smart","nonword","2-5",0.196270964157868
"ft","trustworthy","company","0",-0.0302951250086799
"ft","trustworthy","company","2-5",0.243497717754549
"ft","trustworthy","fnames","0",0.334345684744089
"ft","trustworthy","fnames","2-5",0.284253710951797
"ft","trustworthy","nonword","0",0.0797345833786575
"ft","trustworthy","nonword","2-5",0.225566441191271
"bert","feminine","company","0",0.210195502547697
"bert","feminine","company","1",0.122755266602539
"bert","feminine","company","2",0.0936800539741559
"bert","feminine","company","3",0.0915630795585838
"bert","feminine","company","4",0.164346076664758
"bert","feminine","company","5",0.150799651087445
"bert","feminine","company","6",0.151112731045966
"bert","feminine","company","7",0.161278771659553
"bert","feminine","company","8",0.143620834827684
"bert","feminine","company","9",0.182056232766439
"bert","feminine","company","10",0.275178603232613
"bert","feminine","company","11",0.263800830812036
"bert","feminine","fnames","0",0.33809299377611
"bert","feminine","fnames","1",0.418023649037393
"bert","feminine","fnames","2",0.357507989995495
"bert","feminine","fnames","3",0.277150313910104
"bert","feminine","fnames","4",0.364028210369673
"bert","feminine","fnames","5",0.291116826452569
"bert","feminine","fnames","6",0.324008117796413
"bert","feminine","fnames","7",0.323519345224855
"bert","feminine","fnames","8",0.300918943245091
"bert","feminine","fnames","9",0.304175861393173
"bert","feminine","fnames","10",0.348300819684043
"bert","feminine","fnames","11",0.317539123398191
"bert","feminine","nonword","0",0.194138050707823
"bert","feminine","nonword","1",0.0896277112881022
"bert","feminine","nonword","2",-0.00323639224467583
"bert","feminine","nonword","3",0.0838994951603538
"bert","feminine","nonword","4",0.147267546478991
"bert","feminine","nonword","5",0.0515117719448286
"bert","feminine","nonword","6",0.0441833789866017
"bert","feminine","nonword","7",0.0323691744711116
"bert","feminine","nonword","8",0.0620042337982468
"bert","feminine","nonword","9",0.101650270477095
"bert","feminine","nonword","10",0.192394075033656
"bert","feminine","nonword","11",0.127643790562017
"bert","good","company","0",0.344414484696362
"bert","good","company","1",0.286480266057186
"bert","good","company","2",0.18652398568248
"bert","good","company","3",0.257634653201543
"bert","good","company","4",0.268406304475796
"bert","good","company","5",0.2926139407509
"bert","good","company","6",0.267807745203257
"bert","good","company","7",0.279899354046754
"bert","good","company","8",0.268471161719599
"bert","good","company","9",0.318254524958425
"bert","good","company","10",0.26786489746125
"bert","good","company","11",0.265919695537037
"bert","good","fnames","0",0.141237848912504
"bert","good","fnames","1",0.157112904537922
"bert","good","fnames","2",0.0868554749993317
"bert","good","fnames","3",0.190505851083197
"bert","good","fnames","4",0.277265402345749
"bert","good","fnames","5",0.259231606436572
"bert","good","fnames","6",0.273014050588602
"bert","good","fnames","7",0.302437465150031
"bert","good","fnames","8",0.304795842942803
"bert","good","fnames","9",0.32440751964714
"bert","good","fnames","10",0.322506800377611
"bert","good","fnames","11",0.308032191323979
"bert","good","nonword","0",0.20339386977069
"bert","good","nonword","1",0.170227624063955
"bert","good","nonword","2",0.187006245883016
"bert","good","nonword","3",0.208707314573459
"bert","good","nonword","4",0.162385859894572
"bert","good","nonword","5",0.167068529392975
"bert","good","nonword","6",0.173706709299561
"bert","good","nonword","7",0.182582738265942
"bert","good","nonword","8",0.162286744088424
"bert","good","nonword","9",0.158260157666015
"bert","good","nonword","10",0.1717819177784
"bert","good","nonword","11",0.173232318773346
"bert","smart","company","0",0.135557709247786
"bert","smart","company","1",0.0916238916419651
"bert","smart","company","2",0.0886804347419815
"bert","smart","company","3",0.0996915020937365
"bert","smart","company","4",0.0956706133209878
"bert","smart","company","5",0.087342738475049
"bert","smart","company","6",0.0896878152343387
"bert","smart","company","7",0.127309348706307
